lat,long,ind
42.3191,  -83.0984, 16998
42.4164,  -83.17, 16998
42.3646,  -83.1903, 16998
42.4238,  -83.2617, 16998
42.3352,  -83.0795, 16998
42.3402,  -83.024, 16998
42.3833,  -83.1937, 16998
42.4048,  -82.9973, 16998
42.4007,  -83.2238, 16998
42.3516,  -83.064, 16998
42.4209,  -82.9886, 16998
42.385,  -83.1435, 16998
42.4183,  -83.168, 16998
42.3669,  -83.089, 16998
42.3851,  -83.0051, 16998
42.4359,  -83.0686, 16998
42.3781,  -82.9829, 16998
42.3513,  -83.1172, 16998
42.4011,  -82.9219, 16998
42.4143,  -83.0631, 16998
42.3845,  -83.0207, 7999
42.4128,  -83.2262, 7999
42.4192,  -83.1609, 7999
42.3407,  -83.2109, 7999
42.4026,  -83.1118, 7999
42.4121,  -83.1706, 7999
42.3923,  -82.9703, 7999
42.4045,  -83.0227, 7999
42.4314,  -83.2101, 7999
42.3614,  -82.9374, 7999
42.4212,  -82.9441, 7999
42.4121,  -83.2586, 7999
42.4448,  -83.0767, 7999
42.428,  -83.235, 7999
42.4169,  -82.957, 7999
42.4115,  -83.1851, 7999
42.3846,  -83.0207, 7998
42.3617,  -83.0953, 7998
42.4348,  -83.0556, 7998
42.4497,  -82.9689, 18000
42.4181,  -83.1126, 18000
42.3414,  -83.2208, 18000
42.4181,  -83.0933, 18000
42.4404,  -83.0859, 18000
42.3986,  -82.9842, 18000
42.4332,  -82.9809, 18000
42.3766,  -83.0782, 18000
42.4353,  -83.1171, 18000
42.4305,  -82.9749, 18000
42.4307,  -83.1942, 18000
42.4155,  -83.2098, 18000
42.3887,  -83.1883, 18000
42.4328,  -83.0736, 18000
42.4422,  -83.1691, 16998
42.4407,  -83.259, 16998
42.3598,  -83.2013, 16998
42.2576,  -83.1624, 16998
42.3988,  -83.2399, 16998
42.3451,  -83.008, 16998
42.374,  -83.007, 16998
42.4085,  -83.2746, 16998
42.3795,  -83.1439, 16998
42.375,  -83.0953, 16998
42.4224,  -83.1913, 16998
42.4216,  -82.9431, 16998
42.4072,  -82.9894, 16998
42.4148,  -83.1721, 16998
42.3752,  -83.1591, 16998
42.4014,  -83.1705, 16998
42.4139,  -82.9802, 16998
42.4212,  -83.266, 16998
42.4157,  -82.9386, 7999
42.367,  -83.1438, 7999
42.3439,  -83.2031, 7999
42.3833,  -83.1048, 7999
42.4409,  -83.0701, 7999
42.4056,  -83.2092, 7999
42.3627,  -83.1753, 7999
42.4438,  -82.9605, 7999
42.3902,  -83.2157, 7999
42.4125,  -83.1349, 7999
42.4121,  -83.2562, 7999
42.346,  -83.2346, 7999
42.3422,  -83.0784, 7999
42.4184,  -83.0119, 7999
42.3787,  -82.9818, 7999
42.3679,  -83.2228, 7999
42.36,  -83.0902, 7999
42.4332,  -82.9601, 7999
42.4062,  -83.1946, 7999
42.4044,  -83.135, 7999
42.449,  -82.9762, 7999
42.4218,  -83.1706, 7999
42.3976,  -82.9587, 7999
42.3694,  -83.0891, 7999
42.411,  -83.1866, 7999
42.3466,  -83.2038, 7999
42.2646,  -83.1663, 7999
42.4175,  -82.9464, 7999
42.3363,  -83.2272, 7999
42.4248,  -82.9946, 7999
42.3749,  -83.0781, 7998
42.4336,  -83.0379, 20999
42.3927,  -83.1359, 18000
42.4085,  -83.1377, 18000
42.3789,  -83.0146, 18000
42.4189,  -83.1442, 18000
42.3409,  -83.0408, 18000
42.3279,  -83.0587, 18000
42.4221,  -83.004, 18000
42.3861,  -83.2368, 18000
42.3805,  -83.1589, 18000
42.3537,  -83.1199, 18000
42.359,  -83.0278, 18000
42.3925,  -82.9668, 18000
42.3606,  -83.0013, 18000
42.3142,  -83.1213, 18000
42.4383,  -83.0437, 18000
